   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1973.000        0.135       99.865        0.001       99.999   4.2110E-05   9.9602E-01   1.3123E-03
     1973.000        0.271       99.729        0.002       99.998   8.4846E-05   9.9205E-01   2.6231E-03
     1973.000        0.406       99.594        0.003       99.997   1.2822E-04   9.8808E-01   3.9322E-03
     1973.000        0.541       99.459        0.004       99.996   1.7223E-04   9.8411E-01   5.2398E-03
     1973.000        0.676       99.324        0.005       99.995   2.1690E-04   9.8015E-01   6.5457E-03
     1973.000        0.811       99.189        0.006       99.994   2.6224E-04   9.7619E-01   7.8500E-03
     1973.000        0.946       99.054        0.007       99.993   3.0824E-04   9.7223E-01   9.1527E-03
     1973.000        1.081       98.919        0.008       99.992   3.5494E-04   9.6828E-01   1.0454E-02
     1973.000        1.216       98.784        0.009       99.991   4.0233E-04   9.6434E-01   1.1753E-02
     1973.000        1.350       98.650        0.010       99.990   4.5043E-04   9.6040E-01   1.3051E-02
     1973.000        1.485       98.515        0.011       99.989   4.9924E-04   9.5646E-01   1.4347E-02
     1973.000        1.619       98.381        0.012       99.988   5.4878E-04   9.5253E-01   1.5641E-02
     1973.000        1.753       98.247        0.013       99.987   5.9908E-04   9.4860E-01   1.6934E-02
     1973.000        1.887       98.113        0.014       99.986   6.5011E-04   9.4467E-01   1.8225E-02
     1973.000        2.022       97.978        0.015       99.985   7.0191E-04   9.4076E-01   1.9514E-02
     1973.000        2.156       97.844        0.016       99.984   7.5450E-04   9.3684E-01   2.0802E-02
     1973.000        2.290       97.710        0.017       99.983   8.0786E-04   9.3293E-01   2.2088E-02
     1973.000        2.423       97.577        0.018       99.982   8.6203E-04   9.2902E-01   2.3372E-02
     1973.000        2.557       97.443        0.019       99.981   9.1702E-04   9.2512E-01   2.4654E-02
     1973.000        2.691       97.309        0.020       99.980   9.7283E-04   9.2122E-01   2.5935E-02
     1973.000        2.824       97.176        0.021       99.979   1.0295E-03   9.1733E-01   2.7213E-02
     1973.000        2.958       97.042        0.022       99.978   1.0870E-03   9.1344E-01   2.8490E-02
     1973.000        3.091       96.909        0.023       99.977   1.1454E-03   9.0956E-01   2.9766E-02
     1973.000        3.224       96.776        0.024       99.976   1.2046E-03   9.0568E-01   3.1039E-02
     1973.000        3.357       96.643        0.025       99.975   1.2648E-03   9.0180E-01   3.2310E-02
     1973.000        3.491       96.509        0.026       99.974   1.3258E-03   8.9793E-01   3.3580E-02
     1973.000        3.624       96.376        0.027       99.973   1.3878E-03   8.9407E-01   3.4848E-02
     1973.000        3.756       96.244        0.028       99.972   1.4507E-03   8.9021E-01   3.6114E-02
     1973.000        3.889       96.111        0.029       99.971   1.5146E-03   8.8635E-01   3.7378E-02
     1973.000        4.022       95.978        0.030       99.970   1.5794E-03   8.8250E-01   3.8640E-02
     1973.000        4.155       95.845        0.031       99.969   1.6452E-03   8.7865E-01   3.9900E-02
     1973.000        4.287       95.713        0.032       99.968   1.7121E-03   8.7481E-01   4.1159E-02
     1973.000        4.419       95.581        0.033       99.967   1.7799E-03   8.7097E-01   4.2415E-02
     1973.000        4.552       95.448        0.034       99.966   1.8488E-03   8.6714E-01   4.3670E-02
     1973.000        4.684       95.316        0.035       99.965   1.9187E-03   8.6331E-01   4.4922E-02
     1973.000        4.816       95.184        0.036       99.964   1.9897E-03   8.5949E-01   4.6172E-02
     1973.000        4.948       95.052        0.037       99.963   2.0618E-03   8.5567E-01   4.7421E-02
     1973.000        5.080       94.920        0.038       99.962   2.1349E-03   8.5186E-01   4.8667E-02
     1973.000        5.212       94.788        0.039       99.961   2.2092E-03   8.4805E-01   4.9912E-02
     1973.000        5.344       94.656        0.040       99.960   2.2846E-03   8.4425E-01   5.1154E-02
     1973.000        5.475       94.525        0.041       99.959   2.3612E-03   8.4045E-01   5.2394E-02
     1973.000        5.607       94.393        0.042       99.958   2.4390E-03   8.3666E-01   5.3632E-02
     1973.000        5.739       94.261        0.043       99.957   2.5179E-03   8.3288E-01   5.4868E-02
     1973.000        5.870       94.130        0.044       99.956   2.5981E-03   8.2909E-01   5.6102E-02
     1973.000        6.001       93.999        0.045       99.955   2.6795E-03   8.2532E-01   5.7334E-02
     1973.000        6.132       93.868        0.046       99.954   2.7622E-03   8.2155E-01   5.8563E-02
     1973.000        6.264       93.736        0.047       99.953   2.8461E-03   8.1778E-01   5.9791E-02
     1973.000        6.395       93.605        0.048       99.952   2.9313E-03   8.1402E-01   6.1016E-02
     1973.000        6.526       93.474        0.049       99.951   3.0178E-03   8.1026E-01   6.2239E-02
     1973.000        6.656       93.344        0.050       99.950   3.1057E-03   8.0651E-01   6.3460E-02
     1973.000        6.787       93.213        0.051       99.949   3.1949E-03   8.0277E-01   6.4678E-02
     1973.000        6.918       93.082        0.052       99.948   3.2855E-03   7.9903E-01   6.5894E-02
     1973.000        7.048       92.952        0.053       99.947   3.3775E-03   7.9530E-01   6.7108E-02
     1973.000        7.179       92.821        0.054       99.946   3.4710E-03   7.9157E-01   6.8319E-02
