   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1873.000        0.135       99.865        0.001       99.999   3.7818E-05   9.9601E-01   1.3166E-03
     1873.000        0.271       99.729        0.002       99.998   7.6201E-05   9.9203E-01   2.6317E-03
     1873.000        0.406       99.594        0.003       99.997   1.1516E-04   9.8805E-01   3.9453E-03
     1873.000        0.541       99.459        0.004       99.996   1.5470E-04   9.8407E-01   5.2573E-03
     1873.000        0.676       99.324        0.005       99.995   1.9483E-04   9.8010E-01   6.5677E-03
     1873.000        0.811       99.189        0.006       99.994   2.3556E-04   9.7613E-01   7.8766E-03
     1873.000        0.946       99.054        0.007       99.993   2.7690E-04   9.7217E-01   9.1840E-03
     1873.000        1.081       98.919        0.008       99.992   3.1886E-04   9.6821E-01   1.0490E-02
     1873.000        1.216       98.784        0.009       99.991   3.6145E-04   9.6426E-01   1.1794E-02
     1873.000        1.350       98.650        0.010       99.990   4.0468E-04   9.6030E-01   1.3097E-02
     1873.000        1.485       98.515        0.011       99.989   4.4856E-04   9.5636E-01   1.4398E-02
     1873.000        1.619       98.381        0.012       99.988   4.9310E-04   9.5241E-01   1.5697E-02
     1873.000        1.753       98.247        0.013       99.987   5.3832E-04   9.4848E-01   1.6995E-02
     1873.000        1.887       98.113        0.014       99.986   5.8420E-04   9.4454E-01   1.8291E-02
     1873.000        2.022       97.978        0.015       99.985   6.3079E-04   9.4061E-01   1.9585E-02
     1873.000        2.156       97.844        0.016       99.984   6.7808E-04   9.3669E-01   2.0878E-02
     1873.000        2.290       97.710        0.017       99.983   7.2608E-04   9.3277E-01   2.2169E-02
     1873.000        2.423       97.577        0.018       99.982   7.7481E-04   9.2885E-01   2.3459E-02
     1873.000        2.557       97.443        0.019       99.981   8.2428E-04   9.2493E-01   2.4747E-02
     1873.000        2.691       97.309        0.020       99.980   8.7448E-04   9.2103E-01   2.6033E-02
     1873.000        2.824       97.176        0.021       99.979   9.2547E-04   9.1712E-01   2.7317E-02
     1873.000        2.958       97.042        0.022       99.978   9.7722E-04   9.1322E-01   2.8600E-02
     1873.000        3.091       96.909        0.023       99.977   1.0297E-03   9.0933E-01   2.9881E-02
     1873.000        3.224       96.776        0.024       99.976   1.0831E-03   9.0543E-01   3.1160E-02
     1873.000        3.357       96.643        0.025       99.975   1.1372E-03   9.0155E-01   3.2438E-02
     1873.000        3.491       96.509        0.026       99.974   1.1922E-03   8.9766E-01   3.3714E-02
     1873.000        3.624       96.376        0.027       99.973   1.2480E-03   8.9379E-01   3.4988E-02
     1873.000        3.756       96.244        0.028       99.972   1.3047E-03   8.8991E-01   3.6260E-02
     1873.000        3.889       96.111        0.029       99.971   1.3622E-03   8.8605E-01   3.7530E-02
     1873.000        4.022       95.978        0.030       99.970   1.4206E-03   8.8218E-01   3.8799E-02
     1873.000        4.155       95.845        0.031       99.969   1.4799E-03   8.7832E-01   4.0066E-02
     1873.000        4.287       95.713        0.032       99.968   1.5401E-03   8.7447E-01   4.1331E-02
     1873.000        4.419       95.581        0.033       99.967   1.6013E-03   8.7062E-01   4.2594E-02
     1873.000        4.552       95.448        0.034       99.966   1.6634E-03   8.6677E-01   4.3855E-02
     1873.000        4.684       95.316        0.035       99.965   1.7264E-03   8.6293E-01   4.5114E-02
     1873.000        4.816       95.184        0.036       99.964   1.7904E-03   8.5909E-01   4.6372E-02
     1873.000        4.948       95.052        0.037       99.963   1.8554E-03   8.5526E-01   4.7627E-02
     1873.000        5.080       94.920        0.038       99.962   1.9214E-03   8.5143E-01   4.8881E-02
     1873.000        5.212       94.788        0.039       99.961   1.9884E-03   8.4761E-01   5.0132E-02
     1873.000        5.344       94.656        0.040       99.960   2.0564E-03   8.4379E-01   5.1382E-02
     1873.000        5.475       94.525        0.041       99.959   2.1255E-03   8.3998E-01   5.2630E-02
     1873.000        5.607       94.393        0.042       99.958   2.1957E-03   8.3618E-01   5.3876E-02
     1873.000        5.739       94.261        0.043       99.957   2.2670E-03   8.3237E-01   5.5119E-02
     1873.000        5.870       94.130        0.044       99.956   2.3393E-03   8.2858E-01   5.6361E-02
     1873.000        6.001       93.999        0.045       99.955   2.4128E-03   8.2478E-01   5.7601E-02
     1873.000        6.132       93.868        0.046       99.954   2.4874E-03   8.2100E-01   5.8838E-02
     1873.000        6.264       93.736        0.047       99.953   2.5632E-03   8.1721E-01   6.0074E-02
     1873.000        6.395       93.605        0.048       99.952   2.6402E-03   8.1344E-01   6.1307E-02
     1873.000        6.526       93.474        0.049       99.951   2.7184E-03   8.0966E-01   6.2538E-02
     1873.000        6.656       93.344        0.050       99.950   2.7978E-03   8.0590E-01   6.3768E-02
     1873.000        6.787       93.213        0.051       99.949   2.8784E-03   8.0214E-01   6.4994E-02
     1873.000        6.918       93.082        0.052       99.948   2.9603E-03   7.9838E-01   6.6219E-02
     1873.000        7.048       92.952        0.053       99.947   3.0435E-03   7.9463E-01   6.7442E-02
     1873.000        7.179       92.821        0.054       99.946   3.1280E-03   7.9088E-01   6.8662E-02
     1873.000        7.309       92.691        0.055       99.945   3.2138E-03   7.8714E-01   6.9881E-02
     1873.000        7.440       92.560        0.056       99.944   3.3010E-03   7.8341E-01   7.1096E-02
     1873.000        7.570       92.430        0.057       99.943   3.3896E-03   7.7968E-01   7.2310E-02
     1873.000        7.700       92.300        0.058       99.942   3.4795E-03   7.7595E-01   7.3522E-02
     1873.000        7.830       92.170        0.059       99.941   3.5709E-03   7.7224E-01   7.4730E-02
     1873.000        7.960       92.040        0.060       99.940   3.6637E-03   7.6852E-01   7.5937E-02
     1873.000        8.090       91.910        0.061       99.939   3.7579E-03   7.6481E-01   7.7142E-02
     1873.000        8.220       91.780        0.062       99.938   3.8537E-03   7.6111E-01   7.8343E-02
     1873.000        8.349       91.651        0.063       99.937   3.9510E-03   7.5742E-01   7.9543E-02
     1873.000        8.479       91.521        0.064       99.936   4.0498E-03   7.5373E-01   8.0740E-02
     1873.000        8.608       91.392        0.065       99.935   4.1502E-03   7.5004E-01   8.1934E-02
     1873.000        8.738       91.262        0.066       99.934   4.2522E-03   7.4637E-01   8.3127E-02
     1873.000        8.867       91.133        0.067       99.933   4.3558E-03   7.4269E-01   8.4316E-02
     1873.000        8.996       91.004        0.068       99.932   4.4610E-03   7.3903E-01   8.5503E-02
     1873.000        9.125       90.875        0.069       99.931   4.5680E-03   7.3537E-01   8.6687E-02
     1873.000        9.254       90.746        0.070       99.930   4.6766E-03   7.3171E-01   8.7869E-02
     1873.000        9.383       90.617        0.071       99.929   4.7870E-03   7.2806E-01   8.9049E-02
     1873.000        9.512       90.488        0.072       99.928   4.8991E-03   7.2442E-01   9.0225E-02
     1873.000        9.641       90.359        0.073       99.927   5.0130E-03   7.2079E-01   9.1399E-02
     1873.000        9.770       90.230        0.074       99.926   5.1288E-03   7.1716E-01   9.2570E-02
     1873.000        9.898       90.102        0.075       99.925   5.2464E-03   7.1354E-01   9.3739E-02
     1873.000       10.027       89.973        0.076       99.924   5.3659E-03   7.0992E-01   9.4904E-02
     1873.000       10.155       89.845        0.077       99.923   5.4873E-03   7.0631E-01   9.6067E-02
     1873.000       10.284       89.716        0.078       99.922   5.6107E-03   7.0271E-01   9.7227E-02
     1873.000       10.412       89.588        0.079       99.921   5.7360E-03   6.9911E-01   9.8384E-02
     1873.000       10.540       89.460        0.080       99.920   5.8634E-03   6.9552E-01   9.9538E-02
     1873.000       10.668       89.332        0.081       99.919   5.9928E-03   6.9194E-01   1.0069E-01
     1873.000       10.796       89.204        0.082       99.918   6.1243E-03   6.8836E-01   1.0184E-01
     1873.000       10.924       89.076        0.083       99.917   6.2579E-03   6.8479E-01   1.0298E-01
     1873.000       11.052       88.948        0.084       99.916   6.3937E-03   6.8123E-01   1.0413E-01
     1873.000       11.179       88.821        0.085       99.915   6.5316E-03   6.7767E-01   1.0527E-01
     1873.000       11.307       88.693        0.086       99.914   6.6718E-03   6.7412E-01   1.0640E-01
     1873.000       11.435       88.565        0.087       99.913   6.8143E-03   6.7058E-01   1.0753E-01
     1873.000       11.562       88.438        0.088       99.912   6.9590E-03   6.6705E-01   1.0866E-01
     1873.000       11.689       88.311        0.089       99.911   7.1061E-03   6.6352E-01   1.0979E-01
     1873.000       11.817       88.183        0.090       99.910   7.2556E-03   6.6000E-01   1.1091E-01
     1873.000       11.944       88.056        0.091       99.909   7.4074E-03   6.5649E-01   1.1203E-01
     1873.000       12.071       87.929        0.092       99.908   7.5618E-03   6.5298E-01   1.1315E-01
     1873.000       12.198       87.802        0.093       99.907   7.7187E-03   6.4949E-01   1.1426E-01
     1873.000       12.325       87.675        0.094       99.906   7.8780E-03   6.4600E-01   1.1537E-01
     1873.000       12.452       87.548        0.095       99.905   8.0400E-03   6.4252E-01   1.1648E-01
     1873.000       12.579       87.421        0.096       99.904   8.2046E-03   6.3904E-01   1.1758E-01
     1873.000       12.705       87.295        0.097       99.903   8.3719E-03   6.3558E-01   1.1868E-01
