   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1923.000        0.135       99.865        0.001       99.999   3.9964E-05   9.9602E-01   1.3145E-03
     1923.000        0.271       99.729        0.002       99.998   8.0523E-05   9.9204E-01   2.6274E-03
     1923.000        0.406       99.594        0.003       99.997   1.2169E-04   9.8806E-01   3.9387E-03
     1923.000        0.541       99.459        0.004       99.996   1.6346E-04   9.8409E-01   5.2485E-03
     1923.000        0.676       99.324        0.005       99.995   2.0586E-04   9.8012E-01   6.5567E-03
     1923.000        0.811       99.189        0.006       99.994   2.4890E-04   9.7616E-01   7.8633E-03
     1923.000        0.946       99.054        0.007       99.993   2.9257E-04   9.7220E-01   9.1683E-03
     1923.000        1.081       98.919        0.008       99.992   3.3690E-04   9.6825E-01   1.0472E-02
     1923.000        1.216       98.784        0.009       99.991   3.8189E-04   9.6430E-01   1.1774E-02
     1923.000        1.350       98.650        0.010       99.990   4.2756E-04   9.6035E-01   1.3074E-02
     1923.000        1.485       98.515        0.011       99.989   4.7390E-04   9.5641E-01   1.4372E-02
     1923.000        1.619       98.381        0.012       99.988   5.2095E-04   9.5247E-01   1.5669E-02
     1923.000        1.753       98.247        0.013       99.987   5.6870E-04   9.4854E-01   1.6964E-02
     1923.000        1.887       98.113        0.014       99.986   6.1716E-04   9.4461E-01   1.8258E-02
     1923.000        2.022       97.978        0.015       99.985   6.6636E-04   9.4068E-01   1.9550E-02
     1923.000        2.156       97.844        0.016       99.984   7.1630E-04   9.3676E-01   2.0840E-02
     1923.000        2.290       97.710        0.017       99.983   7.6698E-04   9.3285E-01   2.2128E-02
     1923.000        2.423       97.577        0.018       99.982   8.1844E-04   9.2893E-01   2.3415E-02
     1923.000        2.557       97.443        0.019       99.981   8.7067E-04   9.2503E-01   2.4700E-02
     1923.000        2.691       97.309        0.020       99.980   9.2367E-04   9.2112E-01   2.5984E-02
     1923.000        2.824       97.176        0.021       99.979   9.7750E-04   9.1723E-01   2.7265E-02
     1923.000        2.958       97.042        0.022       99.978   1.0321E-03   9.1333E-01   2.8545E-02
     1923.000        3.091       96.909        0.023       99.977   1.0876E-03   9.0944E-01   2.9823E-02
     1923.000        3.224       96.776        0.024       99.976   1.1439E-03   9.0556E-01   3.1100E-02
     1923.000        3.357       96.643        0.025       99.975   1.2010E-03   9.0168E-01   3.2374E-02
     1923.000        3.491       96.509        0.026       99.974   1.2590E-03   8.9780E-01   3.3647E-02
     1923.000        3.624       96.376        0.027       99.973   1.3179E-03   8.9393E-01   3.4918E-02
     1923.000        3.756       96.244        0.028       99.972   1.3777E-03   8.9006E-01   3.6187E-02
     1923.000        3.889       96.111        0.029       99.971   1.4384E-03   8.8620E-01   3.7454E-02
     1923.000        4.022       95.978        0.030       99.970   1.5001E-03   8.8234E-01   3.8720E-02
     1923.000        4.155       95.845        0.031       99.969   1.5626E-03   8.7849E-01   3.9983E-02
     1923.000        4.287       95.713        0.032       99.968   1.6262E-03   8.7464E-01   4.1245E-02
     1923.000        4.419       95.581        0.033       99.967   1.6907E-03   8.7079E-01   4.2504E-02
     1923.000        4.552       95.448        0.034       99.966   1.7562E-03   8.6695E-01   4.3762E-02
     1923.000        4.684       95.316        0.035       99.965   1.8226E-03   8.6312E-01   4.5018E-02
     1923.000        4.816       95.184        0.036       99.964   1.8901E-03   8.5929E-01   4.6272E-02
     1923.000        4.948       95.052        0.037       99.963   1.9587E-03   8.5547E-01   4.7524E-02
     1923.000        5.080       94.920        0.038       99.962   2.0283E-03   8.5165E-01   4.8774E-02
     1923.000        5.212       94.788        0.039       99.961   2.0989E-03   8.4783E-01   5.0022E-02
     1923.000        5.344       94.656        0.040       99.960   2.1707E-03   8.4402E-01   5.1268E-02
     1923.000        5.475       94.525        0.041       99.959   2.2435E-03   8.4022E-01   5.2512E-02
     1923.000        5.607       94.393        0.042       99.958   2.3175E-03   8.3642E-01   5.3754E-02
     1923.000        5.739       94.261        0.043       99.957   2.3926E-03   8.3262E-01   5.4994E-02
     1923.000        5.870       94.130        0.044       99.956   2.4689E-03   8.2884E-01   5.6231E-02
     1923.000        6.001       93.999        0.045       99.955   2.5463E-03   8.2505E-01   5.7467E-02
     1923.000        6.132       93.868        0.046       99.954   2.6250E-03   8.2127E-01   5.8701E-02
     1923.000        6.264       93.736        0.047       99.953   2.7048E-03   8.1750E-01   5.9932E-02
     1923.000        6.395       93.605        0.048       99.952   2.7860E-03   8.1373E-01   6.1161E-02
     1923.000        6.526       93.474        0.049       99.951   2.8683E-03   8.0996E-01   6.2388E-02
     1923.000        6.656       93.344        0.050       99.950   2.9520E-03   8.0621E-01   6.3613E-02
     1923.000        6.787       93.213        0.051       99.949   3.0369E-03   8.0245E-01   6.4836E-02
     1923.000        6.918       93.082        0.052       99.948   3.1232E-03   7.9871E-01   6.6056E-02
     1923.000        7.048       92.952        0.053       99.947   3.2108E-03   7.9496E-01   6.7275E-02
     1923.000        7.179       92.821        0.054       99.946   3.2998E-03   7.9123E-01   6.8491E-02
     1923.000        7.309       92.691        0.055       99.945   3.3901E-03   7.8749E-01   6.9704E-02
     1923.000        7.440       92.560        0.056       99.944   3.4819E-03   7.8377E-01   7.0916E-02
     1923.000        7.570       92.430        0.057       99.943   3.5751E-03   7.8005E-01   7.2124E-02
     1923.000        7.700       92.300        0.058       99.942   3.6698E-03   7.7633E-01   7.3331E-02
     1923.000        7.830       92.170        0.059       99.941   3.7660E-03   7.7263E-01   7.4535E-02
     1923.000        7.960       92.040        0.060       99.940   3.8637E-03   7.6892E-01   7.5737E-02
     1923.000        8.090       91.910        0.061       99.939   3.9629E-03   7.6523E-01   7.6937E-02
     1923.000        8.220       91.780        0.062       99.938   4.0636E-03   7.6153E-01   7.8133E-02
     1923.000        8.349       91.651        0.063       99.937   4.1660E-03   7.5785E-01   7.9328E-02
