   Temp (K)   mole % SiO2  mole % ZnO     wt % SiO2    wt % ZnO     a(SiO2)      a(ZnO)     a(Zn2SiO4)  
     1833.000        0.135       99.865        0.001       99.999   3.6104E-05   9.9601E-01   1.3183E-03
     1833.000        0.271       99.729        0.002       99.998   7.2748E-05   9.9202E-01   2.6352E-03
     1833.000        0.406       99.594        0.003       99.997   1.0994E-04   9.8804E-01   3.9505E-03
     1833.000        0.541       99.459        0.004       99.996   1.4769E-04   9.8406E-01   5.2643E-03
     1833.000        0.676       99.324        0.005       99.995   1.8601E-04   9.8008E-01   6.5766E-03
     1833.000        0.811       99.189        0.006       99.994   2.2490E-04   9.7611E-01   7.8873E-03
     1833.000        0.946       99.054        0.007       99.993   2.6438E-04   9.7215E-01   9.1965E-03
     1833.000        1.081       98.919        0.008       99.992   3.0444E-04   9.6818E-01   1.0504E-02
     1833.000        1.216       98.784        0.009       99.991   3.4512E-04   9.6422E-01   1.1810E-02
     1833.000        1.350       98.650        0.010       99.990   3.8640E-04   9.6027E-01   1.3115E-02
     1833.000        1.485       98.515        0.011       99.989   4.2831E-04   9.5632E-01   1.4418E-02
     1833.000        1.619       98.381        0.012       99.988   4.7085E-04   9.5237E-01   1.5719E-02
     1833.000        1.753       98.247        0.013       99.987   5.1402E-04   9.4843E-01   1.7019E-02
     1833.000        1.887       98.113        0.014       99.986   5.5786E-04   9.4449E-01   1.8317E-02
     1833.000        2.022       97.978        0.015       99.985   6.0236E-04   9.4055E-01   1.9614E-02
     1833.000        2.156       97.844        0.016       99.984   6.4752E-04   9.3663E-01   2.0909E-02
     1833.000        2.290       97.710        0.017       99.983   6.9338E-04   9.3270E-01   2.2202E-02
     1833.000        2.423       97.577        0.018       99.982   7.3993E-04   9.2878E-01   2.3494E-02
     1833.000        2.557       97.443        0.019       99.981   7.8719E-04   9.2486E-01   2.4784E-02
     1833.000        2.691       97.309        0.020       99.980   8.3516E-04   9.2095E-01   2.6072E-02
     1833.000        2.824       97.176        0.021       99.979   8.8387E-04   9.1704E-01   2.7359E-02
     1833.000        2.958       97.042        0.022       99.978   9.3331E-04   9.1313E-01   2.8644E-02
     1833.000        3.091       96.909        0.023       99.977   9.8350E-04   9.0923E-01   2.9927E-02
     1833.000        3.224       96.776        0.024       99.976   1.0345E-03   9.0534E-01   3.1209E-02
     1833.000        3.357       96.643        0.025       99.975   1.0862E-03   9.0145E-01   3.2489E-02
     1833.000        3.491       96.509        0.026       99.974   1.1387E-03   8.9756E-01   3.3767E-02
     1833.000        3.624       96.376        0.027       99.973   1.1921E-03   8.9368E-01   3.5044E-02
     1833.000        3.756       96.244        0.028       99.972   1.2462E-03   8.8980E-01   3.6318E-02
     1833.000        3.889       96.111        0.029       99.971   1.3012E-03   8.8592E-01   3.7591E-02
     1833.000        4.022       95.978        0.030       99.970   1.3571E-03   8.8206E-01   3.8862E-02
     1833.000        4.155       95.845        0.031       99.969   1.4138E-03   8.7819E-01   4.0132E-02
     1833.000        4.287       95.713        0.032       99.968   1.4713E-03   8.7433E-01   4.1400E-02
     1833.000        4.419       95.581        0.033       99.967   1.5298E-03   8.7047E-01   4.2665E-02
     1833.000        4.552       95.448        0.034       99.966   1.5891E-03   8.6662E-01   4.3929E-02
     1833.000        4.684       95.316        0.035       99.965   1.6494E-03   8.6277E-01   4.5191E-02
     1833.000        4.816       95.184        0.036       99.964   1.7106E-03   8.5893E-01   4.6452E-02
     1833.000        4.948       95.052        0.037       99.963   1.7727E-03   8.5510E-01   4.7710E-02
     1833.000        5.080       94.920        0.038       99.962   1.8358E-03   8.5126E-01   4.8966E-02
     1833.000        5.212       94.788        0.039       99.961   1.8999E-03   8.4744E-01   5.0221E-02
     1833.000        5.344       94.656        0.040       99.960   1.9650E-03   8.4361E-01   5.1474E-02
     1833.000        5.475       94.525        0.041       99.959   2.0311E-03   8.3979E-01   5.2724E-02
     1833.000        5.607       94.393        0.042       99.958   2.0982E-03   8.3598E-01   5.3973E-02
     1833.000        5.739       94.261        0.043       99.957   2.1663E-03   8.3217E-01   5.5220E-02
     1833.000        5.870       94.130        0.044       99.956   2.2356E-03   8.2837E-01   5.6465E-02
     1833.000        6.001       93.999        0.045       99.955   2.3059E-03   8.2457E-01   5.7708E-02
     1833.000        6.132       93.868        0.046       99.954   2.3773E-03   8.2078E-01   5.8948E-02
     1833.000        6.264       93.736        0.047       99.953   2.4498E-03   8.1699E-01   6.0187E-02
     1833.000        6.395       93.605        0.048       99.952   2.5235E-03   8.1320E-01   6.1424E-02
     1833.000        6.526       93.474        0.049       99.951   2.5983E-03   8.0942E-01   6.2658E-02
     1833.000        6.656       93.344        0.050       99.950   2.6743E-03   8.0565E-01   6.3891E-02
     1833.000        6.787       93.213        0.051       99.949   2.7515E-03   8.0188E-01   6.5121E-02
     1833.000        6.918       93.082        0.052       99.948   2.8299E-03   7.9812E-01   6.6350E-02
     1833.000        7.048       92.952        0.053       99.947   2.9095E-03   7.9436E-01   6.7576E-02
     1833.000        7.179       92.821        0.054       99.946   2.9904E-03   7.9061E-01   6.8800E-02
     1833.000        7.309       92.691        0.055       99.945   3.0726E-03   7.8686E-01   7.0022E-02
     1833.000        7.440       92.560        0.056       99.944   3.1560E-03   7.8312E-01   7.1241E-02
     1833.000        7.570       92.430        0.057       99.943   3.2408E-03   7.7938E-01   7.2459E-02
     1833.000        7.700       92.300        0.058       99.942   3.3269E-03   7.7565E-01   7.3674E-02
     1833.000        7.830       92.170        0.059       99.941   3.4144E-03   7.7192E-01   7.4887E-02
     1833.000        7.960       92.040        0.060       99.940   3.5033E-03   7.6820E-01   7.6098E-02
     1833.000        8.090       91.910        0.061       99.939   3.5936E-03   7.6449E-01   7.7306E-02
     1833.000        8.220       91.780        0.062       99.938   3.6854E-03   7.6078E-01   7.8512E-02
     1833.000        8.349       91.651        0.063       99.937   3.7785E-03   7.5707E-01   7.9715E-02
     1833.000        8.479       91.521        0.064       99.936   3.8732E-03   7.5338E-01   8.0916E-02
     1833.000        8.608       91.392        0.065       99.935   3.9694E-03   7.4968E-01   8.2115E-02
     1833.000        8.738       91.262        0.066       99.934   4.0672E-03   7.4600E-01   8.3311E-02
     1833.000        8.867       91.133        0.067       99.933   4.1665E-03   7.4231E-01   8.4505E-02
     1833.000        8.996       91.004        0.068       99.932   4.2674E-03   7.3864E-01   8.5697E-02
     1833.000        9.125       90.875        0.069       99.931   4.3699E-03   7.3497E-01   8.6886E-02
     1833.000        9.254       90.746        0.070       99.930   4.4740E-03   7.3131E-01   8.8072E-02
     1833.000        9.383       90.617        0.071       99.929   4.5798E-03   7.2765E-01   8.9256E-02
     1833.000        9.512       90.488        0.072       99.928   4.6874E-03   7.2400E-01   9.0437E-02
     1833.000        9.641       90.359        0.073       99.927   4.7966E-03   7.2035E-01   9.1616E-02
     1833.000        9.770       90.230        0.074       99.926   4.9076E-03   7.1672E-01   9.2791E-02
     1833.000        9.898       90.102        0.075       99.925   5.0205E-03   7.1308E-01   9.3965E-02
     1833.000       10.027       89.973        0.076       99.924   5.1351E-03   7.0946E-01   9.5135E-02
     1833.000       10.155       89.845        0.077       99.923   5.2516E-03   7.0584E-01   9.6303E-02
     1833.000       10.284       89.716        0.078       99.922   5.3700E-03   7.0222E-01   9.7468E-02
     1833.000       10.412       89.588        0.079       99.921   5.4902E-03   6.9862E-01   9.8630E-02
     1833.000       10.540       89.460        0.080       99.920   5.6125E-03   6.9502E-01   9.9789E-02
     1833.000       10.668       89.332        0.081       99.919   5.7367E-03   6.9142E-01   1.0095E-01
     1833.000       10.796       89.204        0.082       99.918   5.8629E-03   6.8784E-01   1.0210E-01
     1833.000       10.924       89.076        0.083       99.917   5.9912E-03   6.8426E-01   1.0325E-01
     1833.000       11.052       88.948        0.084       99.916   6.1216E-03   6.8068E-01   1.0440E-01
